Year,Name of Dam,تراز انتهای سال آبی,تراز ابتدای سال آبی,حجم انتهای سال آبی,حجم ابتدای سال آبی,ورودی,سایر,كل,نشتي,پمپاژ,زهكش,تبخير,تخلیه رسوب,دريچه آبگيري,سرريز,کل,Type of Use,ID,Value,sharestan
1398-99,سد ارداک,1290.12,1291.63,22.1776,23.6574,40.88,0,30.2844,0,0,0,0.001,5.0112,29.3102,7.992,42.173,شرب,3,15.7754,مشهد
1398-99,سد چالي دره ,97.07,98.12,0.769,0.9034,0.633,0,0.5348,0.0077,0,0,0,0.1328,0.5603,0,0.712,شرب,3,0,مشهد
1398-99,سد دولت آباد ,1023.5,1023.5,1.2,1.2,12.09,0,0,0,0,0,0.0709,6.9076,0,5.2002,12.192,شرب,3,0,مشهد
1399-00,سد طرق,1204.3,1214.45,14.47,28.69,6.97,0.329,18.6915,0,0,0,0.079,0,18.778,0,18.857,شرب,4,17.2494,مشهد
1399-00,سد كارده,1278.48,1284.54,4.85,9.74,9.49,3.1391,14.5793,0,0,0,0.139,0,14.705,0,14.844,شرب,3,0,مشهد
1399-00,سد ارداک,1279.34,1290.08,9.84,22.18,16.11,0,27.1064,0,0,0,0.704,0,27.15,0,27.854,شرب,3,15.4909,مشهد
1399-00,سد چالي دره ,92.02,92.02,0.38,0.77,0.63,0.0053,0.9471,0,0,0,0,0.006,0.961,0,0.967,شرب,3,0,مشهد
1399-00,سد دولت آباد ,1016.2,1023.5,0.59,1.2,5.33,0,0.8016,0,0,0,0,3.49,0.792,1.643,5.925,شرب,3,0,مشهد
1400-01,سد طرق,1197.62,1204.29,8.43,14.46,1.67,0.3406,6.65,0,0,0,0,0,6.6285,0,6.629,شرب,4,6.189,مشهد
1400-01,سد كارده,1278.09,1278.43,4.59,4.81,6.63,1.5339,6.5934,0,0,0,0.0443,0,6.5948,0,6.6391,شرب,3,1.5023,مشهد
1400-01,سد ارداک,1279.22,1279.3,9.73,9.8,11.21,0,10.364,0,0,0,0.0002,0,10.3547,0,10.3549,شرب,3,4.8726,مشهد
1400-01,سد چالي دره ,93.95,92,0.53,0.38,0.73,0,0.6639,0,0,0,0,0.0648,0.6643,0,0.7291,شرب,3,0,مشهد
1400-01,سد دولت آباد ,1014.8,1016.2,0.49,0.59,6.53,0,1.719,0,0,0,0.0798,3.6003,1.683,1.062,6.4251,شرب,3,0,مشهد
1401-02,سد طرق,1186.26,1197.62,2.5895,8.43,0.96,0.3785,6.264,0,0,0,0.0046,0,6.218,0,6.2226,شرب,4,5.8393,مشهد
1401-02,سد كارده,1272.89,1278.09,1.768,4.59,3.19,0.2278,5.679,0,0,0,0,0,5.6933,0,5.6933,شرب,3,2.3358,مشهد
1401-02,سد ارداک,1270.6,1279.22,3.916,9.73,7.08,0.2883,11.9186,0,0,0,0.9758,0,11.9169,0,12.8927,شرب,3,7.2853,مشهد
1401-02,سد چالي دره ,94.24,93.95,0.5502,0.53,0.823,0,0.7811,0,0,0,0,0.0129,0.7811,0,0.794,شرب,3,0,مشهد
1401-02,سد دولت آباد ,1015.95,1014.8,0.5741,0.49,4.69,0,0.7589,0,0,0,0.0688,3.677,0.7589,0,4.5047,شرب,3,0,مشهد
1402-03,سد طرق,1190.39,1186.26,4.06,2.59,6.2,0.0976,4.8248,0,0,0,0,0,4.8422,0,4.8422,شرب,4,4.6717,مشهد
1402-03,سد كارده,1275.48,1272.84,3.05,1.75,4.98,0,3.376,0,0,0,0,0,3.3923,0,3.3923,شرب,3,0.6376,مشهد
1402-03,سد ارداک,1274.36,1270.55,6.05,3.89,10.2,0.0624,7.0847,0,0,0,0.1129,0,7.0837,0,7.1966,شرب,3,3.9643,مشهد
1402-03,سد چالي دره ,97.35,94.18,0.8,0.55,0.728,0,0.5356,0,0,0,0,0,0.5356,0,0.5356,شرب,3,0,مشهد
1402-03,سد دولت آباد ,1018.6,1015.95,0.78,0.57,8.51,0,0.5379,0,0,0,0.0531,6.5774,0.5379,1.1257,8.2941,شرب,3,0,مشهد
1394-95,سد طرق,1201.92,1203.86,11.932,14.039,10.78,0.1575,10.7799,0.1103,0,0,1.1417,0.216,10.7207,0,12.208,صنعتي,4,0.0748,مشهد
1394-95,سد كارده,1280.8,1277.07,6.5,3.9508,10.21,0,6.6893,0,0,0,0.8411,0,6.7468,0,7.605,صنعتي,3,0,مشهد
1394-95,سد ارداک,1293.5,1283.41,27.465,13.8046,24.73,0.1548,9.6828,0,0,0,1.7369,0,9.2676,0,11.036,صنعتي,3,0,مشهد
1394-95,سد چالي دره ,96.88,94.86,0.7509,0.5974,0.695,0,0.5753,0,0,0,0.0157,0,0.5703,0,0.58,صنعتي,3,0,مشهد
1394-95,سد دولت آباد ,1016,1016.7,0.578,0.6326,1.11,0,1.0437,0,0,0,0.0255,0,1.0502,0,1.041,صنعتي,3,0,مشهد
1395-96,سد طرق,1203.15,1201.92,13.2225,11.932,12.51,0.176,9.1496,0.0216,0,0,0.2229,0,9.1498,0,9.401,صنعتي,4,0.063,مشهد
1395-96,سد كارده,1281.87,1280.8,7.343,6.5,6.67,0,5.3963,0,0,0,0.0758,0,5.4275,0,5.53,صنعتي,3,0,مشهد
1395-96,سد ارداک,1289.68,1293.5,21.6168,27.465,20.47,1.1757,25.3608,0,0,0,0.2397,0.2072,23.7492,1.5376,25.771,صنعتي,3,0,مشهد
1395-96,سد چالي دره ,95.35,96.88,0.6346,0.7509,0.98,0,0.7154,0,0,0,0.0144,0,0.7238,0,0.715,صنعتي,3,0,مشهد
1395-96,سد دولت آباد ,1019.8,1016,0.8744,0.578,1.38,0,1.3084,0,0,0,0.0194,0,1.3683,0,1.367,صنعتي,3,0,مشهد
1396-97,سد طرق,1196.24,1203.15,7.392,13.2225,4.77,0.3152,9.8804,0,0,0,0,0,9.8701,0,9.916,صنعتي,4,0,مشهد
1396-97,سد كارده,1277.9,1281.87,4.47,7.343,4.51,0,6.7158,0,0,0,0,0,6.7163,0,6.75,صنعتي,3,0,مشهد
1396-97,سد ارداک,1279.8,1289.68,10.229,21.6168,12.74,0,24.4325,0,0,0,0,0,23.0246,0,23.037,صنعتي,3,0.2759,مشهد
1396-97,سد چالي دره ,94.35,95.35,0.5586,0.6346,0.798,0,0.7873,0,0,0,0.0245,0,0.7854,0,0.829,صنعتي,3,0.7186,مشهد
1396-97,سد دولت آباد ,1017.5,1019.8,0.695,0.8744,1.85,0,1.0544,0,0,0,0.044,0,1.05,1.0118,2.082,صنعتي,3,0,مشهد
1397-98,سد طرق,1209.14,1196.24,20.668,7.392,23.89,0.3276,8.6207,0,0,0,0,0,8.609,0,8.665,صنعتي,4,0,مشهد
1397-98,سد كارده,1281.93,1277.9,7.394,4.47,9.6,1.6752,6.4327,0,0,0,0,0,6.4491,0,6.424,صنعتي,3,0,مشهد
1397-98,سد ارداک,1291.63,1279.8,23.6574,10.229,34.04,0,18.7315,0,0,0,0,0,17.9754,0,17.955,صنعتي,3,0.1533,مشهد
1397-98,سد چالي دره ,98.12,94.35,0.9034,0.5586,0.96,0,0.4265,0.0028,0,0,0.0166,0.0986,0.4271,0,0.538,صنعتي,3,0.4214,مشهد
1397-98,سد دولت آباد ,1023.5,1017.5,1.2,0.695,9.9,0,0.2521,0,0,0,0.0237,0,0.2987,9.5102,9.894,صنعتي,3,0,مشهد
1398-99,سد طرق,1214.47,1209.14,28.692,20.668,25.49,0.3276,14.9428,0,0,0,0.0217,0,14.4919,1.7015,16.245,صنعتي,4,0,مشهد
1398-99,سد كارده,1284.58,1281.93,9.74,7.394,11.76,2.46,8.9194,0,0,0,0,0,9.0204,0,9.022,صنعتي,3,0,مشهد
1398-99,سد ارداک,1290.12,1291.63,22.1776,23.6574,40.88,0,30.2844,0,0,0,0.001,5.0112,29.3102,7.992,42.173,صنعتي,3,0.7454,مشهد
